  3238   1682
   259    473
   364    473
   366   1286
   377    473
   368   1284
   376    472
   368    472
   366    470
   366   1294
   355   1297
   366    468
   377    473
   366    470
   364   1296
   364   1296
   366    472
   366    473
   366    474
   364    475
   367    474
   367    474
   365    472
   366    599
   230    481
   357    475
   374    468
   367    472
   374    464
   368   1295
   364    465
   376    465
   376    462
   378    471
   364    473
   364    475
   365    475
   368   1296
   366    474
   368    468
   366    473
   365    475
   362    473
   366   1288
   376   1286
   366   1289
   369   1291
   375   1285
   365   1300
   365    473
   365    475
   366    473
   366   1296
   366    473
   367    475
   367    474
   364    470
   375    462
   367    474
   367    475
   364    476
   367   1292
   365   1292
   366    472
   366    471
   366   1295
   374    473
   366    471
   364    472
   362    474
   377   1287
   366    471
   367   1295
   366   1292
   363    476
   372    471
   365    474
   363    471
   375    466
   374    464
   378    464
   367   1294
   365   1298
   366    474
   364    472
   369    474
   364    471
   367    470
   365    474
   367    475
   374    471
   367    472
   368    469
   368    471
   377    461
   378    462
   368    481
   354    475
   367    473
   366    474
   375    470
   365    471
   365    475
   369    471
   375    472
   367    471
   367    473
   367    474
   365    469
   364    473
   366    478
   366    470
   368    481
   367   1286
   368   1297
   367    473
   369   1289
   365    470
   367   1294
   366    473
   368    470
   366  43161
