  3244   1674
   272    468
   368    473
   369   1289
   365    474
   365   1287
   372    473
   359    483
   367    472
   358   1300
   355   1296
   366    472
   368    475
   368    471
   370   1281
   377   1286
   371    471
   363    473
   366    475
   359    475
   366    471
   368    475
   367    474
   367    466
   365    477
   367    473
   365    471
   365    472
   377    464
   367   1290
   369    474
   367    473
   369    473
   367    471
   366    474
   365    477
   367    463
   443   1222
   354    471
   368    473
   368    470
   365    478
   367   1290
   367    474
   367    464
   367    476
   369    473
   364    476
   366    471
   366  43052
